gene,gene_ensembl_id,gene_full_name,baseMean,avg_log2FC,lfcSE,stat,p_val,p_val_adj,mean_counts_group1,mean_counts_group2,CHR,Significance
1110059E24Rik,ENSMUSG00000035171,RIKEN cDNA 1110059E24 gene,1850.76175529519,0.23363514776368499,0.0981695539995753,2.37991452792682,1.73166541059337E-2,0.167514293545308,2000.71603472705,1700.80747586334,19,Not Significant
1110059G10Rik,ENSMUSG00000032551,RIKEN cDNA 1110059G10 gene,651.352193561034,3.7093340552336103E-2,0.179655657235525,0.206469092725021,0.83642450503292098,0.95811262101852501,659.090175071537,643.614212050531,9,Not Significant
1110065P20Rik,ENSMUSG00000078570,RIKEN cDNA 1110065P20 gene,989.321431883102,5.9281647538726397E-2,0.163272920460003,0.363083157768643,0.71654276552840901,0.91801570573091695,1008.4005740746,970.242289691608,4,Not Significant
1190005I06Rik,ENSMUSG00000043687,RIKEN cDNA 1190005I06 gene,678.229972287521,0.13448704752685101,0.168666445802193,0.797355080835539,0.42524483925308898,0.77231757313546601,710.402102897685,646.057841677357,8,Not Significant
1300002E11Rik,ENSMUSG00000097290,RIKEN cDNA 1300002E11 gene,601.197886931525,-1.33746625245538E-2,0.162523995500852,-0.0822934637026181,0.93441335200187703,0.98569776000765696,597.620120668497,604.775653194553,16,Not Significant
1300014J16Rik,ENSMUSG00000112545,RIKEN cDNA 1300014J16 gene,82.7912893438576,0.89623229583676101,0.285793118127605,3.13594778526681,1.7129969912664899E-3,4.0508620535965899E-2,107.562361543333,58.020217144382,12,Not Significant
1500002C15Rik,ENSMUSG00000096221,RIKEN cDNA 1500002C15 gene,66.7585672837629,-0.16617933851241301,0.304528359254707,-0.545694131473057,0.58527620659387403,0.86003405935712995,62.7356917452913,70.7814428222346,4,Not Significant
1500002F19Rik,ENSMUSG00000097595,RIKEN cDNA 1500002F19 gene,15.1168568431203,-0.65975917223640601,0.544859191497993,-1.21088013661386,0.225941346407286,,11.54933654667,18.6843771395705,7,Not Significant
1500004A13Rik,ENSMUSG00000098912,RIKEN cDNA 1500004A13 gene,7375.42537767704,8.4981783052989705E-3,0.121746298142314,0.0698023548557108,0.944350972848086,0.98870612509828704,7398.16604280566,7352.68471254842,3,Not Significant
1500009L16Rik,ENSMUSG00000087651,RIKEN cDNA 1500009L16 gene,384.041167943624,8.6965407824354801E-2,0.23962729714532,0.362919453920207,0.71666505398662805,0.91801570573091695,395.10592963057,372.976406256679,10,Not Significant
1500011B03Rik,,1500011B03Rik,2233.39699965104,0.107048199742936,0.226386479353838,0.472855976419077,0.63631593497329597,0.88440654853115597,2315.39795877769,2151.39604052438,5,Not Significant
1500015A07Rik,ENSMUSG00000098702,RIKEN cDNA 1500015A07 gene,1069.93252419796,0.22184791695228001,0.269158880786806,0.824226628910679,0.40981079912160201,0.76081183530153995,1151.409418671,988.455629724929,18,Not Significant
1500015L24Rik,ENSMUSG00000094732,RIKEN cDNA 1500015L24 gene,546.984285729265,0.54636533955085798,0.247157902794158,2.21059223020634,2.7064087292702599E-2,0.21831800667958301,649.855487811704,444.113083646827,19,Not Significant
1500026H17Rik,ENSMUSG00000097383,RIKEN cDNA 1500026H17 gene,358.880599310145,-4.1843642733728099E-2,0.179473764679975,-0.233146291929301,0.81564780943343396,0.95108261923981197,353.172140987626,364.589057632664,10,Not Significant
1500032F14Rik,ENSMUSG00000117718,RIKEN cDNA 1500032F14 gene,98.4460952841104,0.33404105194342898,0.351381033528576,0.95065191364765,0.34178110606106998,0.71360369544372804,109.661715311311,87.2304752569096,19,Not Significant
